fixtureId,homeScore,awayScore
3e7eb861-2267-4367-a352-273361f1e9ed,1,2
88b11b60-12cb-4640-88d2-9dd56a7be96f,0,0
109eafe2-7fbe-4adf-ac02-be0429fde371,0,1
d2a19ca1-f36a-4387-9ec4-c341bf436f9b,3,3
3618db2f-1d6c-44f5-a3a7-e467a302992f,2,3
bb7a4795-911e-4401-ac27-2db916942452,0,1
83355121-d772-424e-a420-4eeee6547b71,2,3
905f5fdf-5728-4332-b25b-04cc4c00b9f0,0,0
895dd606-a9eb-487b-b4fb-d58853905763,0,2
9d133256-b73a-4b10-8c0f-aec9c7ae66fa,2,2
def47d7d-4f8d-40e5-8ece-a34490fd8fe3,0,2
2b7e981a-3c3a-4e9a-80dd-c2aae83d7a09,3,2
a1590af1-d552-4ea7-8177-372c49f041f8,0,0
f94824e9-4176-4260-bbad-11d3bd4be163,2,0
dae27a6e-779a-4f03-b680-72724ca984c8,3,0
9c42948f-37f1-4ad9-8cc1-9c2fdcd6e200,3,3
1ab0438f-d119-486a-9b85-2b67f12d8b81,3,1
63b7494c-e699-4525-a7f5-430a94b24346,3,0
74a53933-dc91-4256-94ea-f3c0a88197b7,2,0
d4aa908f-d549-4eac-9b74-051d5b9aafe3,0,1
ce9bcdda-b30a-47e2-a46b-80f9ecc03164,2,3
763a5fef-a7b5-480b-8734-6f13d8099a03,0,0
eaefe2bd-224b-4a26-889b-9c98bd892d67,0,3
a3d7371c-3c00-430f-896c-75993b0f7e32,1,2
e6268dbf-23e9-4bd3-a4bc-27694f0408e9,0,2
010a9bf2-9a0e-4663-b2c2-6b9ba4897a35,3,0
6fd40aa6-d1a2-4320-8f18-0adf5d261390,1,2
b029299e-928b-4ee8-815f-f325323e1243,0,2
97b1fc54-d631-4c60-8f62-046bf4e9c575,2,1
35cbd40d-dbd1-47e4-a4e7-cd13fdbeafd8,3,0
6bb5bc0f-f581-4f85-aa78-32ac285a08a9,2,3
51d101f9-8d2d-411a-8b0a-caaae53c79ee,3,2
e36e6aa8-a663-476a-b96d-7905fe7c793b,3,0
883d43af-7ebb-467f-8b52-cdfe2b5169d8,1,1
6ce521d3-dace-4b27-a66f-88755976e8fc,0,0
570b173d-ebbc-40bb-bf6b-2647d6d5861f,1,3
f00aa0d2-a4ab-4fb7-9633-f8e0211db432,1,1
1047b11c-9090-4b37-905f-98541bcce798,3,0
7fe49c44-1c06-446d-86df-276703189c7c,1,3
7695dcfb-ee02-4fa5-a139-0dcc080d726a,1,0
e3e6cf51-c7ad-4b32-a52d-636b3c21530f,3,3
fe741fbc-9b4b-403e-8800-6d5f8f8b11bb,0,1
08b927cb-4333-4544-b44a-398e0b12c001,0,2
28b3fe87-1470-488d-8fc7-0199d9e33da7,2,1
649f734c-8964-449b-9c42-ff300aebb824,0,0
df9d2e07-9872-490c-b4c1-26f7db8ec044,1,0
30301c40-ddd5-4e3d-b9ef-7eda0ad1c9de,0,3
2cba450a-ee5e-494d-a3c8-20ecb2663492,2,3
0d73ee9f-875f-4332-891a-f4c6ee37c2f9,3,2
f0f507eb-02f4-42aa-a88a-65d49e3cb62b,0,3
627e5d69-a649-48d0-8afd-891d18db765f,2,3
70eed0f2-b05a-42da-afaf-a847bf28b248,2,3
2ceab49e-bea1-4705-878e-60b551ab010d,1,3
f7d13464-bd5f-496e-afe6-aa48c3784f55,2,0
daf00994-e757-4a40-8a53-5e0692b015d7,2,0
bac9c869-a4e1-4df8-b380-8fbfa8ecd399,1,2
d317c2a4-64a9-4b59-bf5c-2ebd4b1e0b8d,0,3
9cb7a968-62b4-4c4f-a6c5-01f63fdc47d0,1,2
849535d2-3796-45a4-8fdf-c1b293f02f6c,2,2
5f8f1776-21ea-48ce-88f5-74a167db5b01,1,0
6d2bdb83-9a34-40ba-9965-8618f264e54f,2,3
9b7752a7-2413-4141-a19d-13ccc273066d,1,3
